Patient Question,Distorted part,Dominant Distortion,Secondary Distortion (Optional)
"Hello, I am on here regarding a recent introspection I seem to be having of myself. I am no expert, I haven’t a PhD, but I’ve noted over the past year my emotions have become more and more dull. I rarely feel bad about hurting other people emotionally and physically, in fact, the other day I almost bludgeoned my sister with a hammer. I only pretend to be apologetic. I get an adrenaline rush instead of guilt, and the lines between fear and excitement in my mind have become blurred. I’m still doubtful though because I am a sadomasochist, I like to get hurt as well as hurt people. I’m not completely emotionless, I cry (albeit over selfish reasons). I get angry. I laugh. I know how to act nice as well, everyone who is not close to me can rarely discern my intentions. At certain times I can make myself feel a certain way. I am still a teenager so maybe I am in way over my head, but I am reaching 18 soon, and I fear I will let this part of me consume my being.","I am still a teenager so maybe I am in way over my head, but I am reaching 18 soon, and I fear I will let this part of me consume my being.",Fortune-telling,
I’m 16 and I am going through extreme guilt and regret over 3 incidents. Once when I was 9 years and was going through little inspection of my cousin sister’s (6 years) private part while playing doctor. Rest 2 when I was 10 or 11 years old. I went to my grandma’s home where my cousin sister who was 6 or 7 years came we were playing a game in which I was mother and she was the child. When it was the time to feed the baby we thought we would act like breast feeding (and at that time we had no boobs at all). In one chance I was the mother and in another she. After few months when we met again she told to play that game again but I refused . I worry if she would tell her mom and put entire blame on me(as I was the older one) and then they would call the police and I would be called an abuser.,I’m 16 and I am going through extreme guilt and regret over 3 incidents.   I worry if she would tell her mom and put entire blame on me(as I was the older one) and then they would call the police and I would be called an abuser.,Personalization,Fortune-telling
"When taking a polygraph, my former step-son keeps creating scenarios that never occurred. We know this because they are about other family members. When the family member is questioned about rather something actually happened or not, they deny the scenario ever occurring. My former step-son is borderline developmentally delayed, had ADHD (and is off his meds because the school said he doesn’t need them, so we are having difficulty with behaviors at home including: lying, impulsivity such as stealing, emotional outbursts, being spiteful (telling me he doesn’t want me in his *blank* life when angry)), and he’s bipolar. He also hears hallucinations from time to time but ignores them. He is currently on probation for a crime I believe he didn’t commit (but I’m not the law). The scenario happened at his mother’s apartment. However, when I first questioned him about it before he started his court appointed therapy, he told me it happened at his friend’s house. He was very confused about the details until his court appointed therapy. He has no concept of time, due to his cognitive impairment. He says things happened a few months ago, which really happened two years ago. Then gets in trouble for it and DCF is called to investigate. Recently, on his last polygraph (he has taken two), he admitted to doing something this January. The counselor kept asking him what happened in January. Finally, he imagined something that happened and told them. They said they have to get DCF back out to talk to him and he may be going back to jail. After talking with cousin he supposedly did something with, we know that nothing happened. Why does he keep admitting to things he didn’t do? Why does he keep imagining things that never happened? (He once told me a scenario that if it had happened, his cousin would have never talked to him again. When I asked him for details, he couldn’t provide them. I’m pretty sure he imagined that too.) Thank you for your time.",,No Distortion,
I’ve known my boyfriend for a couple years and we just started dating. My mom claims that ever since I’ve been with him I’ve been depressed when I’m actually really happy. It all got to the point where she swears I’m never home and doesn’t like when I get invited to my boyfriend’s family activities. She isn’t happy for me or will accept the fact. She won’t let him over past 10 on the weekdays but will allow my friends over past that time. He refuses to come to my house because of how my mom acts towards him. I’ve gotten to the point where I’m going to move out because of how controlling she is but I don’t know how to tell her. I know she’s going to freak out on me and not let me have anything that I own. I’m stuck between my family and my boyfriend and at this point I choose him over them because I see my whole future with him. I’m so unsure on what is right.,I’m stuck between my family and my boyfriend and at this point I choose him over them because I see my whole future with him.,Fortune-telling,All-or-nothing thinking
"I’ve been seeing the best therapist I’ve ever worked with for almost three years and, in that time, he’s helped me significantly, including with coming out as trans and gay and gaining confidence to date and try out relationships. I’ve been on several dates with a great guy who is also trans and gay and we just discovered that we see the same therapist. I would say the chances were slim but my therapist is out as a queer man and many of his clients are queer. Additionally, as I’m out socializing more, trying new bars and parties, and meeting more people, I realize that my therapist and I will likely be running in similar circles.",,No Distortion,
"I’ve been observing myself, paying attention to everything around me as much as i can, and i’ve noticed that i have many symptoms similar to the symptoms of schizophrenia. I’ve been experiencing hallucinations and delusions, mainly delusions. I often see a figure following me around just behind my back, shadows near me, and my delusions include the thought that everything i see is not real, that everyone hates me, that something will eventually come and kill me, even if its not alive, amd much more. I also have thoughts that seem to come from someone else, and i cant control any of my thoughts, and i cant control myself as well. My thoughts are always i mess, i cant speak well and i have no speech problems. Its very difficult to express my emotions, and often, it feel like i cant even feel them. I cant take care of myself. The smallest task can seem like such s pain, and i have also many more things i have experienced. I have been diagnosed with depression, and also fear that i may have anxiety. I apologize for english, and how messed up this may end up being.","I’ve been experiencing hallucinations and delusions, mainly delusions. I often see a figure following me around just behind my back, shadows near me, and my delusions include the thought that everything i see is not real, that everyone hates me, that something will eventually come and kill me, even if its not alive, amd much more.  The smallest task can seem like such s pain, and i have also many more things i have experienced.",Mental filter,Magnification
"First and foremost, I’d like to preface this with the clarification that my parents are good people. They mean well. They’ve tried to help me with my depression and anxiety in any way possible. I’m lucky. But lately they’ve been unintentionally making me feel so much worse. But when I try to communicate this, my complaints fall on deaf ears. They just can’t seem to comprehend that they don’t have me, their own daughter, figured out.","They just can’t seem to comprehend that they don’t have me, their own daughter, figured out.",Mind Reading,
"I feel like I have two personalities, I’m not sure but it feels like it. I can live happily but sometimes I just got this strong urge to kill someone. It feels like something is dragging me into a void and just takes control of me. Nothing has happened so far but I am afraid that someday I might no longer be able to control it anymore. I also feel neither empathy nor guilt. I read that Psychopaths do not feel these two things as well but I on the other hand, can feel fear. Not that someone robs me or tries to kill me, Im not worried about those sorts of things. I am afraid of the reactions of my family since I pretended to be something Im not my whole life. I am also afraid to go see a Therapist, because they are professionals and Im not sure if I can keep the mask up or not. I do not want to spend the rest of my life in a mental hospital. I thought it would go away after a short while, but it seems the more time I ignore it, the stronger it gets. Please tell me I am not crazy.","I can live happily but sometimes I just got this strong urge to kill someone. It feels like something is dragging me into a void and just takes control of me.   I am afraid of the reactions of my family since I pretended to be something Im not my whole life. I am also afraid to go see a Therapist, because they are professionals and Im not sure if I can keep the mask up or not.",All-or-nothing thinking,Fortune-telling
"From a 15 year old in the U.S.: Hi, I’ve had this problem for 4 months it’s been 24/7, but things have all of a sudden felt like everything is getting like fast forwarded or rushed like I sat in a dressing room for an 1 hour and it felt like 30 minutes I don’t know what’s wrong with my perception of time is there any way to fix this??? And I feel very emotionally numb like I’ll laugh but I won’t feel anything. and words on boards seem blurry to me even though I’ve never had reading issues like maybe not blurry just that my mind can’t quite comprehend. I know I have depersonalization but are some of these problems something else","Hi, I’ve had this problem for 4 months it’s been 24/7, but things have all of a sudden felt like everything is getting like fast forwarded or rushed like I sat in a dressing room for an 1 hour and it felt like 30 minutes I don’t know what’s wrong with my perception of time is there any way to fix this??? And I feel very emotionally numb like I’ll laugh but I won’t feel anything. and words on boards seem blurry to me even though I’ve never had reading issues like maybe not blurry just that my mind can’t quite comprehend.",Mental filter,
"I consider myself a heterosexual male but I have often had difficulty forming romantic connections with women for one reason or another. Instead, I tend to be romantically attracted to men, even if that attraction doesn’t exactly translate into sexual attraction.",,No Distortion,
"I’ve been seeing my therapist for about 6 months. Working through a lot of trauma a lot of it related to sexual abuse as a child/teen/adult. I’ve never really been big on sex(I’d go as far as saying I don’t much like it.) and just recently left an abusive relationship. I’ve always had love for my therapist since I meet her. We clicked immediately and I’ve always found her to be an attractive woman but you know laws are laws. And overtime my feelings have grown. Anyways for awhile I’ve fantasize about a sexual encounter with her but in my fantasy she’s always resisted me. I would push up on her and hold her against the wall kiss her etc but stop short of touching her down below because she’d resist me. Recently the fantasy has changed and instead of resisting she flipped me and it became this whole hot and heavy wet sexual scene and I couldn’t escape the need to touch myself. To which I had the most amazing O. I’ve come to the conclusion that I love my therapist deeply and I like the idea of having these fantasies of her knowing I can’t act on them in real life. In a weird way I feel like I’m in a healthy relationship with her though I know that’s not really the case. I feel awkward about living this false relationships in my head but at the same time I love/loved touching myself to the thought of her touching me/us touching each other. And now I don’t want to stop having the fantasy’s. When I did this today I imagined she was somewhere at work in a meeting secretly aroused with unclear meaning. Almost as if I was connected with her on a spiritual level. Anyways I know this probably sounds crazy and I talk to her about everything. Except this. Is this weird, that for now I want to keep this the way it is? And kinda of secretly and slightly irrationally I’m dating her in my head. & I sounds crazy… I feel crazy for wanting to live this out in my head but I equally feel like it’s a better rebound then another fucked up relationship. While I’m grieving the end of a 12year relationship. I’m not sure what to do with these feelings. I know I love my therapist in a very complexed way. I don’t want to let go of the fantasies. I like them a lot. Is this crazy?",And kinda of secretly and slightly irrationally I’m dating her in my head. & I sounds crazy… I feel crazy for wanting to live this out in my head but I equally feel like it’s a better rebound then another fucked up relationship.,Labeling,
From the U.S.: Everyday I wake up I’m angry. If I don’t wake up angry something small may happen and I’m mad for the entire day. If I go a whole day with nothing happening to upset me then my mind often remembers old things and then I’ll be upset about something that could have happened 3 years ago. I get very irritated about every small thing.,If I don’t wake up angry something small may happen and I’m mad for the entire day.,Magnification,
"Hi .I am a 17 year old girl living in hong kong. I felt extremely stressful last year so i visited a psychologist(the kind of doctor who give medicine to those who suffer from mental illnesses )i was diagnosed with adjustment disorder. i am on medication and recently i felt better (eg i have less headache) but i suspect myself of having “dependence personality disorder”. I am so helpless that i think i can never get rid of these feelings. I searched in wikipedia about these this disorder it mentions dependent personality disorder is inter-related with adjustment disorder.i found that i feel trouble in decision making , i always allow other people to decide/choices for me ,like letting my mom to decide which school and college for me to go , which subject for me to study.starting from primary school i always lean on one friend(i cannot stand without friend), i will feel anxious and helpless when i was alone. i cant say no or have courage to be alone because i need to lean on others. i dont know what to do with my life now. i cant make any important decisions in my life …beside, i still live with my mom, she likes to decide and define my life for me ,i cannot get rid of her too, i am kind of lean on the decisions she made for me.","i found that i feel trouble in decision making , i always allow other people to decide/choices for me ,like letting my mom to decide which school and college for me to go , which subject for me to study.starting from primary school i always lean on one friend(i cannot stand without friend), i will feel anxious and helpless when i was alone.",Overgeneralization,
"How can I tell if I have depression or if I’m just a moody teenager? I’ve taken many online surveys before, including the SanityScore one, and they all say I have “Severe Depression” but I’m still skeptical. I have extreme mood swings, I feel hopeless and worthless sometimes, I feel like I can’t control anything in my life, but then sometimes I think I’m just overreacting. I think that there are people who have it worse than I do, and that I should just stop thinking about it. I sort of want to bring the idea up to my mom, but I don’t want her to judge me. I wrote a letter to her but I haven’t given it to her yet. Do you have any advice?","I sort of want to bring the idea up to my mom, but I don’t want her to judge me.",Fortune-telling,
"I’ve always had homicidal/suicidal thoughts for as long as I can remember, but i never spent too much time thinking about them until recently. Since I turned 14, I’ve been thinking a lot more about homicide/suicide, and I’ve been having urges to do it as well. Of course I haven’t acted on these thoughts yet, but they’re getting harder to ignore. I know this isn’t normal, or right, but I’ve been wanting to kill someone recently, and in very graphic ways, even thinking of torturing them before I do it. The people in question are usually people I have a dislike or even hatred towards. I’m scared that I might enact on these thoughts and hurt someone, or worst. I also think of killing myself in very graphic, and usually painful, ways. I don’t want to do these things, but they’re getting harder to ignore. I tried to bring this up to my parents, but they refuse to take me to see a therapist because “they’ll take me away and put me in a mental hospital.” I really don’t know what to do.","I know this isn’t normal, or right, but I’ve been wanting to kill someone recently, and in very graphic ways, even thinking of torturing them before I do it.",Should statements,
From Greece: I met a guy on Playstation 3. I am 30 and he is 21. We live in different countries. When i looked him up online a few newspaper articles came up about him being involved in a series of car thefts and other previous offences. I decided to overlook these as what he was telling me made me feel wonderful.,,No Distortion,
"My family and I suspect that our mother is bipolar and has been for quite some time. She is a very combative person and very unstable at the moment. She excessively spends money that they don’t have. They had to declare bankruptcy in the past. Currently they are living in a small mobile home that my brothers and I bought for them and they are living off of my stepdads SS checks. They do not have medical insurance which also proposes a problem. She is on many medications, but goes off and on them all the time. They can’t afford many of the medications she needs for other issues such as, gout, blood pressure, cholesterol, Polymyositis and more.",,No Distortion,
"From a teen in the U.S.: For as long as I can remember, I have always felt uncomfortable both receiving and giving affection to others. I never viewed this as a problem until just recently. My girlfriend and I have been dating for almost two months now and she’s a very affectionate and supportive person. She seems to always find an excuse to be near me and I don’t have a problem with it. However, I worry that I’m not being as loving towards her as I feel I should be.","However, I worry that I’m not being as loving towards her as I feel I should be.",Should statements,
"Recently, I have been having some problems. I’ve been seeing things and hearing things that my people around me can’t, I have a hard time remembering moments and even little things like & what I ate for breakfast this morning or what grade I got on my math test and I’ve noticed that I just can’t bring myself to do everyday tasks. I’ve been having a lot of thoughts that come from a voice that doesn’t sound like me. This, as you can imagine, has given me some concerns for my mental-well-being. My biggest problem, however, is that I don’t know how to talk to my parents about my concerns. I feel as though my dad would just laugh at me, and say you are a moron which is what he usually does when I ask him for help on other things. I just don’t know who to talk to, or how to see a professional if I can’t even ask my dad.","I feel as though my dad would just laugh at me, and say you are a moron which is what he usually does when I ask him for help on other things.",Fortune-telling,
"I started therapy almost 9 months ago because I had anxiety problems and knew that I had underlying issues that may be causing it. My anxiety actually got a lot better, however, a few months ago I got extremely depressed, to the point where I very specifically planned out my suicide. Although I feel a lot better now, I still have a fairly low mood, low energy and I gained quite a bit of weight. I wonder if I am ever going to get better, or if this depressive episode has damaged my brain in a way that can’t be repaired. I feel like therapy isn’t helping with this at all – thinking through things can’t really elevate my mood, it actually often makes everything worse.","I wonder if I am ever going to get better, or if this depressive episode has damaged my brain in a way that can’t be repaired. I feel like therapy isn’t helping with this at all – thinking through things can’t really elevate my mood, it actually often makes everything worse.",Magnification,
"I have had a relationship for two years. It was difficult from the beginning but also very fulfilling in our times. In our second year he was diagnosed with a severe depression that he must have had for a while then. After the diagnosis he had a breakdown and was nearly not able to do anything anymore. He was emotionally aggressive and cruel towards me and I felt abused very often. In trying to take care for him I got health problems myself and found me a therapist. 10 month later I announced I would leave our flat for a while to recover, he left me and broke all contact – I was relieved, though I loved him very much. I lived without him for one year, recovered, were very happy, dated and had a fulfilling job, still I kept feeling I had lost the chance to grow old with someone I really loved.","I lived without him for one year, recovered, were very happy, dated and had a fulfilling job, still I kept feeling I had lost the chance to grow old with someone I really loved.",Magnification,
"For a long time, I’ve had thoughts about murder, I used to hate it but I’ve grown to enjoy it to the point where thinking about killing and playing with a person’s blood and insides sparks sexual desires. Recently I’ve been having images of blood soaking the streets, a big pile of (adult) bodies all mangled and shredded in the center and imagining rolling around and having sex on top of it all, fire and screams in the distance, I guess what you would imagine Hell to be like. (I’m not religious). I’ve also been thinking very strongly about committing a murder, especially when someone gets me very angry (I have a colleague who really likes to wind me up, almost intentionally nudging me towards doing something). Because of this I’ve distanced myself from many people. At work I can’t be around people, and part of my job is to be around people, but they’ve allowed me to keep to the sides and do my work alone.",,No Distortion,
I don’t think I have the right to be sad because my life is great compared to most but I don’t feel happy. I have no one to talk to and I feel like my mind is just full with different problems. I don’t go to regular school because I constantly feel like I don’t fit in or my self esteem gets in the way.. I’m confused with what is wrong with me or if there is even anything wrong with me. I have almost no friends and keep alienating myself from others even when I feel sad and lonely after. I have tried to talk to my mom about it but she brushed it off. what do you think?,I don’t think I have the right to be sad because my life is great compared to most but I don’t feel happy.  I’m confused with what is wrong with me or if there is even anything wrong with me. I have almost no friends and keep alienating myself from others even when I feel sad and lonely after. ,Should statements,Personalization
"From a teen in Indonesia: Hello, I’ve been struggling to find out what’s happening to my sis, she’s 20 turning 21 this year.. She always have this weird kinda act, for example like, she’s sulking because of one problem and then she became quiet and didn’t talk to anyone for 1/2 days then later she starts laughing and then crying, I don’t know what to do because she didn’t want to open up and slowly she makes me mad too because she kept laughing, scoffing Idk maybe she’s angry at me or what == I tried to tell my mom that maybe we need to go to psychiatrist but she just shrugged it off and said its not a big deal but then it startes to makes me feel depressed ughh so yeahh Thankyou~~","She always have this weird kinda act, for example like, she’s sulking because of one problem and then she became quiet and didn’t talk to anyone for 1/2 days then later she starts laughing and then crying, I don’t know what to do because she didn’t want to open up and slowly she makes me mad too because she kept laughing, scoffing Idk maybe she’s angry at me or what",Mind Reading,
"From the U.S.: Hi. I’m 12. I’m not trying to be offensive, stupid, ignorant, and I’m not self-diagnosing myself, either. First of all, I think I have Aspergers. I’m trying to get diagnosed, although it doesn’t bother me too much. I’m not sure if this is an obsession caused by Aspergers or if it’s something different. I feel like this obsession has lasted alot longer than my other recent obsessions, which usually last only a couple days or months.","I’m not trying to be offensive, stupid, ignorant, and I’m not self-diagnosing myself, either.  I feel like this obsession has lasted alot longer than my other recent obsessions, which usually last only a couple days or months.",Labeling,Mental filter
From England: We had an argument with our teenage son who was rude and insolent. I handled it wrong. I got angry and shouted at him. I told him to stay at his grandmother’s house until he learned manners. But his grandmother has taken his side and my brother has too including taking him on a shopping spree and spending hundreds of dollars on him.,We had an argument with our teenage son who was rude and insolent.,Labeling,
"I feel myself screaming in my own head, have compulsions to act…insane…like doing weird twitchy movements, talking in a nonsense language or just making grimaces and noises. So far I am in a firm control of these compulsions, they never slip in public. But when I am alone, sometimes I just…cant. And its like something overtakes my body while I just scream internally. Its like my own mind is trying to imprison my consciousness in a prison while replacing it with raving lunacy, while I fully realize what I am doing and what is happening around me, but am too deep to regain control. My therapists and psychiatrist do not believe me and keep convincing me that I am just making stuff up. I dont know how to convince them to take me seriously. Lately I have been considering hurting myself badly, just to prove them that I am serious. But It seems ridiculous to me. Hurting myself to gain attention seems stupid and childish… Any idea what is happening? Advice on what I should do?",Hurting myself to gain attention seems stupid and childish…,Labeling,
I am having daydreams where I am being physically punished. They are stories in my head where I am always the victim. They usually involve an authority figure beating me and forcing sex on me. These daydreams have become obsessive that I have lost interest in my hobbies. It is disturbing to me that I enjoy them and I want them to happen to me in real life. It is difficult to focus at work and driving with this story script running in my head. I am 45 and have Had Schizoaffective disorder since my 20s. These daydreams are always a precursor that I am getting sick. I get the daydreams and 1 or 2 weeks later I hear voices. This time I lasted 2 weeKs before the voices started. I take my medicine as prescribed. I am udergoing increased stress with a bankruptcy. My question is why do I get these daydreams and how can I stop them before I get extremely sick and need hospitalization? Thank you for your time in answering my question.,,No Distortion,
"Ever since I was about eight or nine, I’ve always had a desire for a mental disorder. Its less like a want and more like a need, I need one, so much so that I attempt to convince myself, and sometimes other people, that I have one. Ever heard of mind over matter? I try to use that to my advantage. I spend hours trying to find something, anything that I might have, its almost hurting.","Its less like a want and more like a need, I need one, so much so that I attempt to convince myself, and sometimes other people, that I have one. I spend hours trying to find something, anything that I might have, its almost hurting.",Magnification,
I don’t really know what to call it because it’s not so much an urge but just something i want to feel. I don’t have any mental illnesses at least not diagnosed professionally and i come from a loving middle-class family. For maybe a year or so now I’ve had the curiosity or want to know the feeling of pure hatred towards me. I want to kill somebody for the sole purpose of watching their family mourn and know that i killed them just to know how that feels. I want to torture somebody although i can’t see myself doing that. It’s almost as if it’s a craving really. I try to just not think about it and maybe it’ll stop but it’s always just kind of their not really strong but always noticeable in the back of my mind. I don’t really know what to do about it or if I need to do something. I’m just looking for some advice about it.,,No Distortion,
"Hi, I am 19 years old and my girlfriend is 17 years old, we have been dating for a little over a year and really love each other but right now there is a serious relationship problem. We have been having sex routinely for around five months then in December (three months ago) we stopped having sex because she was scared to have it. We always had extremely safe sex; I always wore a condom and with drawled. She was very scared she was pregnant and thought her period was late so we bought two home pregnancy tests, they both came out negative. Two days later she had got her period. It was six days late and lasted seven days. She still thinks she is pregnant though, she has had no pregnancy symptoms.",,No Distortion,
" My husband and I are both nurses. We have two sons. Our oldest will turn five in May and our second son will turn one in April. My husband works full time while I stay home with the kids. Tonight, I caught our 4-year-old wearing my thong underwear under his pajamas. It turns out, he stashed some of my underwear in his room along with two of my Victoria’s Secret catalogs. We talked to him about this. I have always noticed evidence of what Freud calls the oedipal complex in my son. He is a smart boy and has adapted quite well to his new role as big brother. He has said “why did God not make me into a girl” but when I explore this, it turns out that what he really means is that he likes girls, including mommy because girls are pretty. I have never seen any other “feminine” tendencies in him (he’ll say pink is for girls and refuse to ride a Barbie bike) but I just want to make sure that this is just a normal phase for him and we shouldn’t be thinking about gender issues here. I imagine a 4 year old won’t see this as a social taboo although it would be a different situation in an older kid. Please share your views about this situation. Thank you very much.",,No Distortion,
"Recently, i feel like i’m going mental. Guilt, depression, and all other negative emotions are what i’m feeling ! I keep doubting everyone around me, including myself, i feel like i might lose control. Sometimes i get awful thoughts that makes me feel guilty. sometimes i dont think my thoughts are mine at all. i even started wondering if this was reality, maybe the world doesn’t exist and that im dreaming. im paranoid about everything; people are staring, they’re talking behind my back, i cant trust anyone- my mood keeps changing, one times im cheerful and happy and the next im angry and depressed, the next im hateful and dislike everyone. then i began thinking that pain is nice and that it eases my guilt. i feel guilty a lot. i also think that someone is living inside my brain, watching me and judging me and it scares me a lot because i cant behave normally since i feel like the person inside my mind is laughing at me. im so so so so exhausted and all i want is rest but i cant seem to rest i love my family a lot, a lot, but because of my current mood swings and mental state ive been mean to them. it makes me guilty to the point i feel suicidal i dont know what i should do to cure myself.","Sometimes i get awful thoughts that makes me feel guilty.  im paranoid about everything; people are staring, they’re talking behind my back, i cant trust anyone- my mood keeps changing, one times im cheerful and happy and the next im angry and depressed, the next im hateful and dislike everyone.  it makes me guilty to the point i feel suicidal i dont know what i should do to cure myself.",Personalization,Mind Reading
"I have a boyfriend. There’s some problem going on so we had to go on separate ways. We’re breaking up next week and we want to end everything as clean as possible. We we’re talking about it one afternoon when all of a sudden he told me he wanted to say something important to me on the day we’ll break up. I asked him why can’t he say it now and he said I might get mad at him. I insisted and he suddenly blurted out, “I still love her” (referring to the girl he was courting before me). He said it in a serious face and all I could say was “really?”. All of a sudden his expression changed and he said it was only a joke. He said he only wanted me to get mad at him and that he really loves me and no one else. I don’t know if I should just consider it as a joke for I have my own suspicions myself. I don’t know if dreams are really that accurate but it’s actually bugging me lately. There was a time I dreamt of a girl my boyfriend was really close with and he was cheating on me. After a few days, I asked him, if he hadn’t met me, who would he court. His answer was that particular girl i just dreamt about. Then just last week, I had another dream that he was again, cheating on me. I dreamt that he was texting his “ex-crush” while I pretend to be sleeping. Then after a few days, he told me that “not so nice” joke.",,No Distortion,
"From the U.S.: I have a daughter who does competitive Irish dance. From 8-12 she competed regularly and won consistently (13 now). When she hit the highest level within the sport, she started to not do as well. This sapped her confidence and in turn, her desire to compete. She has a natural talent that has gotten her to the place where she is. Now, she has to put in the work to compete against the girls at her level. If she did put in the work, she would dominate. But she doesn’t want to do that and I’m not sure if it’s because she’s lazy or is afraid of putting in the work and still losing. In reality, she still does well, but just not placing within the top 3 like she used to.",But she doesn’t want to do that and I’m not sure if it’s because she’s lazy or is afraid of putting in the work and still losing.,Personalization,Labeling
"I’m currently in a very happy and otherwise healthy, long-term romantic relationship for the first time in my life. My boyfriend is a very caring and sensitive guy and we both love each other very much, but I’m concerned that some of my pre-existing sexual issues may cause problems down the road for our relationship. I have primary vaginismus and vulvodynia, and my first sexual experiences were very negative and traumatic. I have been to a gynecologist about these issues and went through physical therapy to try and overcome them, but even after a few years penetration is still painful and sometimes very difficult. While trusting my partner makes a big difference in reducing the amount of pain I’m in during sex, and with my current boyfriend there have been several occasions where it was virtually painless, it’s still a constant factor in my sex-life. While I do enjoy the intimacy of sex with my boyfriend despite this, I have never been able to achieve orgasm no matter what my partner tries to do or for how long. Even with assistance from vibrators it’s virtually impossible, and the only way I’ve managed to achieve orgasm is by my own intervention. I don’t understand why I have this issue, especially because I am very attracted to him. My boyfriend doesn’t complain to me about it or anything like that, but I can tell that it makes him feel self-conscious. I’ve tried explaining to him that it’s not his fault at all, but I worry that he still feels like he’s inadequate. What should I do?","I’ve tried explaining to him that it’s not his fault at all, but I worry that he still feels like he’s inadequate.",Mind Reading,
"From the U.S.: I have had symptoms of depression, and formerly anxiety as well, that interfere greatly with my everyday life for upwards of seven years. Over the years I have attempted to reach out to medical professionals twice, the first time as a child, only for them to tell my parents I was totally fine, even though I was suffering from severe anxiety symptoms, depressive symptoms and self harming.",,No Distortion,
"I’ve been with my current therapist for a few months. They are helping me so much, I respect them, etc. Last week, our session went over an hour because my therapist didn’t have anyone else for the day. Plus she got me to dig deep, where we were not exactly at a great spot to end. But, I was afraid of this next thing happening, and it did. Today in my session, it went fine but then towards the end,my therapist got quiet, so I didn’t know if I was supposed to talk or not. When I started to, she said, okay tell me but then we have to end, because I need to be somewhere. I don’t know if she was making sure I knew last week was rare, or if she thought I disrespected her, took advantage etc. Now, MY ANXIETY IS THROUGH THE ROOF. I don’t know what to do. Should I say something to her? I respect her time, I understand of course but for some reason this hurt my feelings so much.","I don’t know if she was making sure I knew last week was rare, or if she thought I disrespected her, took advantage etc. Now, MY ANXIETY IS THROUGH THE ROOF.",Mind Reading,Magnification
"I show a lot of signs of different disorders, but I’m not sure if I actually have one or which one or ones I do have. Within the past few months, I’ve gradually found it much harder to leave my house. It is affecting me to the point where I have to take days off of school because I get physically ill (nauseous) from being around so many people for such a long time. I tend to stay in my room more than anywhere else. I am extremely cautious about talking to other people and it is a very hard thing for me to do. I don’t pick up the telephone no matter what, and I will not call people either. I don’t keep many close friends, and the ones I do have I only see at school or talk to online. I’m terribly afraid of public speaking, working in groups, or being around people in general, and a lot of that is because I’m afraid of what they will think of me. I get very anxious about doing things like going to school, and I have suffered a few minor panic attacks from that. I have extremely low self esteem, maybe even close to self-loathing, and this also prevents me from talking to people I believe. My moods also change very quickly, and are pretty extreme as well.","Within the past few months, I’ve gradually found it much harder to leave my house. It is affecting me to the point where I have to take days off of school because I get physically ill (nauseous) from being around so many people for such a long time.  I’m terribly afraid of public speaking, working in groups, or being around people in general, and a lot of that is because I’m afraid of what they will think of me.",Magnification,Mind Reading
"We’ve lived together for around 4yrs, known him around 19yrs, and after 2yrs of living w/him, he has seemed slowly to lose interest in me. I can attract the eye of any guy in the room but him. I can cook dinner in a sexy bat girl, school girl, German girl,ect outfit and he doesn’t even notice. Yet first chance he gets he’s online looking at half naked/naked woman. Is our relationship in trouble? Talking just angers him and makes me feel more like he doesn’t care how it makes me feel. I’m not naive enough to think he’d stop looking at other chicks online, I just want him to look at me too. It’s gotten to where I hardly sleep in the same room with him because I hate the way I feel. Our sex life is horrible. He’s always been a slightly selfish lover but now it’s pretty much always a completely selfish lover except for maybe 1 time out of 6 in a 3 moth period, and I stress the maybe. I love him and even though he’s selfish and stingy like an only child can seem to be, I know he loves me as well, other than this issue we get along rather well. We have not ever fought or argued over anything other than this. Honestly every time I try to say something about how it makes me feel, or ask if he could please act like I am someone pretty in his eyes, he clams up,and if I push it or ask how to fix it or what I’m doing wrong, he eventually blows up on me. Never saying he’s sorry for hurting me or making me feel like he is not attracted to me, he says I am in the wrong, he’s a man, what else did I expect, and things of that nature.I don’t know what to do, but I know things cannot continue on this way much longer. My heart hurts, I cry way too much for my taste, and I am losing confidence in me. I’m 37, 5’3 ,and 123 lbs, I know I’m pretty, but at the same time I don’t FEEL pretty anymore. How can I fix this please if there is anything that might help I’d like to hear what it is. Thanks for your time. (From the USA)","We’ve lived together for around 4yrs, known him around 19yrs, and after 2yrs of living w/him, he has seemed slowly to lose interest in me.  My heart hurts, I cry way too much for my taste, and I am losing confidence in me. ",Mind Reading,Personalization
"My sister has autism spectrum disorder, she always had problems with depression and anxiety. She always spoke to herself when we were younger, but about a year ago she got hit by a car and fractured her skull in 12 places. And now she’s different, she has violent tendencies and she says she thinks people are talking about her or staring at her when no one is, she thought my mom and aunt were talking about her but we haven’t seen her in over a month so she couldn’t have known at all. She thinks everyone is out to get her. I tried looking up schizophrenia and the stages of it but it doesn’t quite match up. She feels every emotion, she is very caring, but she needs help but won’t get it because she thinks what she’s hearing is true.","She feels every emotion, she is very caring, but she needs help but won’t get it because she thinks what she’s hearing is true.",Mind Reading,
